dataset,M,subset_index,members,sign_auc,snr_auc,magnitude_auc,tau09_coverage,tau09_false_trust_risk,zero_budget_cosine,accepted_components,total_components,K
TMM easy (near-saturated),3,104,4;6;7,0.780091121,0.933407501589,0.963816486544,0.957954545455,0.0106761565836,0.996119352528,843,880,11
TMM easy (near-saturated),3,105,4;6;8,0.674938126872,0.909296166037,0.95710129825,0.970454545455,0.019906323185,0.99631799989,854,880,11
TMM easy (near-saturated),3,106,4;6;9,0.666742657396,0.937421634561,0.956115353927,0.964772727273,0.0235571260306,0.995386657819,849,880,11
TMM easy (near-saturated),3,107,4;7;8,0.74816374269,0.918549707602,0.972725146199,0.9625,0.0141676505313,0.996139249409,847,880,11
TMM easy (near-saturated),3,108,4;7;9,0.813849831841,0.94331212772,0.968920944933,0.952272727273,0.0119331742243,0.99521011351,838,880,11
TMM easy (near-saturated),3,109,4;8;9,0.675716195956,0.920256088172,0.957372665019,0.961363636364,0.0212765957447,0.995585003137,846,880,11
TMM easy (near-saturated),3,110,5;6;7,0.81862745098,0.950588235294,0.953647058824,0.948863636364,0.0119760479042,0.994304147855,835,880,11
TMM easy (near-saturated),3,111,5;6;8,0.70022539444,0.876820149547,0.94912525491,0.960227272727,0.0224852071006,0.995363712998,845,880,11
TMM easy (near-saturated),3,112,5;6;9,0.644683009298,0.911276415892,0.937717666948,0.9625,0.0283353010626,0.993429267316,847,880,11
TMM easy (near-saturated),3,113,5;7;8,0.77732079906,0.920215567892,0.952550751651,0.948863636364,0.014371257485,0.994720221777,835,880,11
TMM easy (near-saturated),3,114,5;7;9,0.779831220519,0.965654481132,0.941037735849,0.946590909091,0.015606242497,0.992130183848,833,880,11
TMM easy (near-saturated),3,115,5;8;9,0.713423499577,0.928250211327,0.942113271344,0.954545454545,0.022619047619,0.994086699784,840,880,11
TMM easy (near-saturated),3,116,6;7;8,0.74669005848,0.926549707602,0.964350877193,0.961363636364,0.0141843971631,0.996149123593,846,880,11
TMM easy (near-saturated),3,117,6;7;9,0.793989133326,0.956495307572,0.962042630799,0.955681818182,0.0142687277051,0.995022306007,841,880,11
TMM easy (near-saturated),3,118,6;8;9,0.667153386177,0.939751077736,0.955117507996,0.968181818182,0.0258215962441,0.995382371487,852,880,11
TMM easy (near-saturated),3,119,7;8;9,0.744519632076,0.951173062118,0.959155557356,0.956818181818,0.0166270783848,0.995188741885,842,880,11
TMM easy (near-saturated),5,0,0;1;2;3;4,0.744538011696,0.943906432749,0.945777777778,0.956818181818,0.0142517814727,0.995563592195,842,880,11
TMM easy (near-saturated),5,1,0;1;2;3;5,0.768980392157,0.948352941176,0.943176470588,0.946590909091,0.015606242497,0.995023924431,833,880,11
TMM easy (near-saturated),5,2,0;1;2;3;6,0.747437092265,0.954252603428,0.950119534827,0.959090909091,0.0165876777251,0.995516614213,844,880,11
TMM easy (near-saturated),5,3,0;1;2;3;7,0.882339181287,0.972210526316,0.948912280702,0.945454545455,0.00600961538462,0.995562690245,832,880,11
TMM easy (near-saturated),5,4,0;1;2;3;8,0.753311535882,0.952129443327,0.947308853119,0.953409090909,0.015494636472,0.995638414986,839,880,11
TMM easy (near-saturated),5,5,0;1;2;3;9,0.75237254902,0.949960784314,0.945137254902,0.951136363636,0.0167264038232,0.994973973346,837,880,11
TMM easy (near-saturated),5,6,0;1;2;4;5,0.804156862745,0.951333333333,0.956823529412,0.945454545455,0.0132211538462,0.995390940042,832,880,11
TMM easy (near-saturated),5,7,0;1;2;4;6,0.765685380574,0.950327819027,0.953497459945,0.956818181818,0.0142517814727,0.995804923293,842,880,11
TMM easy (near-saturated),5,8,0;1;2;4;7,0.898705218069,0.973812305296,0.95925817757,0.944318181818,0.00481347773767,0.995840989911,831,880,11
TMM easy (near-saturated),5,9,0;1;2;4;8,0.773058908305,0.958656098,0.951675373807,0.952272727273,0.0131264916468,0.995886554289,838,880,11
