dataset,method,method_label,B_component_checks,reference_evaluations,budget_fraction,accepted_coverage,mean_relerr,relerr_cluster_low,relerr_cluster_high,mean_cosine,cosine_cluster_low,cosine_cluster_high,mean_false_risk,false_risk_cluster_low,false_risk_cluster_high
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,10,20,0.909090909091,0.0909090909091,0.078895095849,0.0673740556857,0.0912057555558,0.994430333253,0.992712561012,0.995910178084,0.0054931640625,0.0007568359375,0.0116455078125
TMM easy (near-saturated),mean_aligned_sign,Mean-aligned sign,11,22,1,0,0,0,0,0.999999916996,0.99999984559,0.999999967235,,,
TMM easy (near-saturated),sign_agreement,Modal sign agreement,0,0,0,1,0.321679680918,0.275066054137,0.372006574863,0.995746075819,0.994449969139,0.996868608202,0.0318181818182,0.0215909090909,0.0420454545455
TMM easy (near-saturated),sign_agreement,Modal sign agreement,1,2,0.0909090909091,0.909090909091,0.311876253682,0.266580556352,0.360895349363,0.992991826692,0.991039381375,0.994653447742,0.016201171875,0.008681640625,0.0244093017578
TMM easy (near-saturated),sign_agreement,Modal sign agreement,2,4,0.181818181818,0.818181818182,0.298021102014,0.254339319804,0.345166130049,0.987240817592,0.982612732616,0.991033425558,0.00806477864583,0.00272352430556,0.0142849392361
TMM easy (near-saturated),sign_agreement,Modal sign agreement,3,6,0.272727272727,0.727272727273,0.280984650967,0.23972398571,0.32548533016,0.979409407909,0.969579118771,0.987184831949,0.00722961425781,0.0015625,0.0136840820312
TMM easy (near-saturated),sign_agreement,Modal sign agreement,4,8,0.363636363636,0.636363636364,0.262108404062,0.223786352301,0.303438502403,0.977209079359,0.966610414009,0.985607174188,0.00586635044643,0.00118582589286,0.0119663783482
TMM easy (near-saturated),sign_agreement,Modal sign agreement,5,10,0.454545454545,0.545454545455,0.241058736033,0.205862374311,0.279009186527,0.977183842273,0.967511793643,0.98496617771,0.00591634114583,0.00115559895833,0.0120686848958
TMM easy (near-saturated),sign_agreement,Modal sign agreement,6,12,0.545454545455,0.454545454545,0.217731435622,0.186008358241,0.251738167468,0.978858531999,0.970508855645,0.985535903267,0.0059033203125,0.00109375,0.012099609375
TMM easy (near-saturated),sign_agreement,Modal sign agreement,7,14,0.636363636364,0.363636363636,0.191330527053,0.163650210282,0.221194661123,0.981701265046,0.974984291376,0.987204082337,0.00582885742188,0.00104370117188,0.0119873046875
TMM easy (near-saturated),sign_agreement,Modal sign agreement,8,16,0.727272727273,0.272727272727,0.160569920705,0.13712535168,0.185810085052,0.985515853941,0.980396767913,0.989735781227,0.00581868489583,0.00110677083333,0.0118896484375
TMM easy (near-saturated),sign_agreement,Modal sign agreement,9,18,0.818181818182,0.181818181818,0.125694755425,0.107337554095,0.145435400266,0.989555526182,0.98610731655,0.992471483931,0.00599365234375,0.00108642578125,0.01240234375
TMM easy (near-saturated),sign_agreement,Modal sign agreement,10,20,0.909090909091,0.0909090909091,0.0794446027979,0.0677513466728,0.0918739152757,0.99435190164,0.992585088101,0.995876996125,0.0064208984375,0.0010498046875,0.013330078125
TMM easy (near-saturated),sign_agreement,Modal sign agreement,11,22,1,0,0,0,0,0.999999916996,0.99999984559,0.999999967235,,,
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,0,0,0,1,0.321679680918,0.275066054137,0.372006574863,0.995746075819,0.994449969139,0.996868608202,0.0318181818182,0.0215909090909,0.0420454545455
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,1,2,0.0909090909091,0.909090909091,0.319868712553,0.273046505464,0.370137435448,0.994995979344,0.99302249035,0.996620634938,0.01375,0.00625,0.0225
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,2,4,0.181818181818,0.818181818182,0.317354248519,0.270676685128,0.367532170653,0.992703703694,0.988351239134,0.995991877556,0.00694444444444,0.00138888888889,0.0125347222222
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,3,6,0.272727272727,0.727272727273,0.312697402649,0.266075500985,0.362675743235,0.987773248152,0.979161123783,0.994294132096,0.00625,0.0015625,0.0125
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,4,8,0.363636363636,0.636363636364,0.302357708145,0.257961377768,0.350232046469,0.984186922577,0.973962909374,0.992109129144,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,5,10,0.454545454545,0.545454545455,0.282181985347,0.24080328026,0.326472657385,0.980070626386,0.96928162396,0.988637642536,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,6,12,0.545454545455,0.454545454545,0.248623917073,0.212616485066,0.286541673571,0.982526058424,0.975826590944,0.988224254278,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,7,14,0.636363636364,0.363636363636,0.21064518643,0.180240830688,0.242398826342,0.984852768284,0.980231903914,0.988898096999,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,8,16,0.727272727273,0.272727272727,0.168656557147,0.143250546538,0.195534719145,0.988130621196,0.984561106968,0.991248509171,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,9,18,0.818181818182,0.181818181818,0.12165801239,0.102294273367,0.14291984338,0.992145944799,0.989572690335,0.994387552349,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,10,20,0.909090909091,0.0909090909091,0.0750315268624,0.0605776592444,0.0917347517373,0.995766883797,0.993747758003,0.997369053712,0,0,0
TMM easy (near-saturated),snr,SNR $|\bar g|/s$,11,22,1,0,0,0,0,0.999999916996,0.99999984559,0.999999967235,,,
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,0,0,0,1,0.321679680918,0.275066054137,0.372006574863,0.995746075819,0.994449969139,0.996868608202,0.0318181818182,0.0215909090909,0.0420454545455
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,1,2,0.0909090909091,0.909090909091,0.32011485297,0.273333495407,0.370542397508,0.994893378083,0.992850976878,0.996577480421,0.01875,0.01,0.02875
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,2,4,0.181818181818,0.818181818182,0.318260838201,0.271463794892,0.368666355955,0.993625781764,0.990444844884,0.996119988682,0.00972222222222,0.00277777777778,0.0166666666667
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,3,6,0.272727272727,0.727272727273,0.316275642307,0.26944504991,0.366520116483,0.992498186733,0.988337181857,0.995760264168,0.003125,0,0.0078125
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,4,8,0.363636363636,0.636363636364,0.312522674932,0.26576361799,0.363052689787,0.991391243664,0.986170174906,0.995451921258,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,5,10,0.454545454545,0.545454545455,0.305862646579,0.259589935745,0.355352497782,0.984954214029,0.975003151093,0.992601193455,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,6,12,0.545454545455,0.454545454545,0.298538788164,0.253487792111,0.346943516138,0.981027499173,0.969178115188,0.990244925192,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,7,14,0.636363636364,0.363636363636,0.29074013447,0.246747344858,0.338133164111,0.978215483775,0.965388190332,0.988202119205,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,8,16,0.727272727273,0.272727272727,0.281396842457,0.238037528676,0.327728008994,0.976361727442,0.963102635415,0.986865623506,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,9,18,0.818181818182,0.181818181818,0.228292109675,0.192208060346,0.266727893591,0.976975238908,0.967512218013,0.9847849629,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,10,20,0.909090909091,0.0909090909091,0.160582926307,0.134805536342,0.187966632876,0.985140924124,0.980239046082,0.989365135478,0,0,0
TMM easy (near-saturated),magnitude,Magnitude $|\bar g|$,11,22,1,0,0,0,0,0.999999916996,0.99999984559,0.999999967235,,,
